Model Name,Noise Type,Noise Level,Average WER
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,116,0.874400753229126
NbAiLab-nb-whisper-large-verbatim,driving_in_the_rain,120,0.922645664463816
openai-whisper-large-v3,angry_male_crowd_ambience,40,0.0
openai-whisper-large-v3,angry_male_crowd_ambience,50,0.018721461187214614
openai-whisper-large-v3,angry_male_crowd_ambience,60,0.00561941251596424
openai-whisper-large-v3,angry_male_crowd_ambience,70,0.06377910808931747
openai-whisper-large-v3,angry_male_crowd_ambience,84,0.16709711104559577
openai-whisper-large-v3,angry_male_crowd_ambience,88,0.21452859648992087
openai-whisper-large-v3,angry_male_crowd_ambience,92,0.25639354021822763
openai-whisper-large-v3,angry_male_crowd_ambience,96,0.45628412997771384
openai-whisper-large-v3,angry_male_crowd_ambience,100,0.5385714035602258
openai-whisper-large-v3,angry_male_crowd_ambience,104,0.528569901054871
openai-whisper-large-v3,angry_male_crowd_ambience,108,0.7818407648676459
openai-whisper-large-v3,angry_male_crowd_ambience,112,0.9706457925636008
openai-whisper-large-v3,angry_male_crowd_ambience,116,1.0
openai-whisper-large-v3,angry_male_crowd_ambience,120,1.0
openai-whisper-large-v3,angry_male_crowd_ambience,130,1.1307471264367817
openai-whisper-large-v3,angry_male_crowd_ambience,80,0.1590537711833642
openai-whisper-large-v3,crowded_beach_ambience,40,0.0
openai-whisper-large-v3,crowded_beach_ambience,50,0.011111111111111112
openai-whisper-large-v3,crowded_beach_ambience,80,0.10829729094652665
openai-whisper-large-v3,crowded_beach_ambience,84,0.14813071710811362
openai-whisper-large-v3,crowded_beach_ambience,60,0.018721461187214614
openai-whisper-large-v3,crowded_beach_ambience,70,0.06885690907793802
openai-whisper-large-v3,crowded_beach_ambience,88,0.2699617863982034
openai-whisper-large-v3,crowded_beach_ambience,92,0.3104540912797644
openai-whisper-large-v3,crowded_beach_ambience,96,0.34524944243944194
openai-whisper-large-v3,crowded_beach_ambience,100,0.4309512056961448
openai-whisper-large-v3,crowded_beach_ambience,104,0.6166194528790204
openai-whisper-large-v3,crowded_beach_ambience,108,0.8599774392987346
openai-whisper-large-v3,crowded_beach_ambience,130,1.9941260930996296
openai-whisper-large-v3,crowded_beach_ambience,112,1.0
openai-whisper-large-v3,crowded_beach_ambience,116,1.0
openai-whisper-large-v3,crowded_beach_ambience,120,1.0
openai-whisper-large-v3,ATV_engine_motor_hum,50,0.011111111111111112
openai-whisper-large-v3,ATV_engine_motor_hum,108,1.6168765513022612
openai-whisper-large-v3,ATV_engine_motor_hum,120,1.963163917726869
openai-whisper-large-v3,ATV_engine_motor_hum,40,0.0
openai-whisper-large-v3,ATV_engine_motor_hum,116,0.9445944782121913
openai-whisper-large-v3,ATV_engine_motor_hum,130,1.7857524726009089
openai-whisper-large-v3,ATV_engine_motor_hum,60,0.022369878183831675
openai-whisper-large-v3,ATV_engine_motor_hum,70,0.07897393678871739
openai-whisper-large-v3,ATV_engine_motor_hum,80,0.1730545328286645
openai-whisper-large-v3,ATV_engine_motor_hum,84,0.14234979649220147
openai-whisper-large-v3,ATV_engine_motor_hum,88,0.19755043971200853
openai-whisper-large-v3,ATV_engine_motor_hum,92,0.2729139795803348
openai-whisper-large-v3,ATV_engine_motor_hum,96,0.31170676981883255
openai-whisper-large-v3,ATV_engine_motor_hum,100,0.3838537443758427
openai-whisper-large-v3,ATV_engine_motor_hum,104,0.5625261490352695
openai-whisper-large-v3,ATV_engine_motor_hum,112,1.5947179363308175
openai-whisper-large-v3,driving_in_the_rain,108,0.6025278823220184
openai-whisper-large-v3,driving_in_the_rain,70,0.06603398573042193
openai-whisper-large-v3,driving_in_the_rain,80,0.11345571558056114
openai-whisper-large-v3,driving_in_the_rain,96,0.22423920932123542
openai-whisper-large-v3,driving_in_the_rain,100,0.36239420849725634
openai-whisper-large-v3,driving_in_the_rain,40,0.0
openai-whisper-large-v3,driving_in_the_rain,50,0.0
openai-whisper-large-v3,driving_in_the_rain,60,0.0019157088122605363
openai-whisper-large-v3,driving_in_the_rain,84,0.09184778152656613
openai-whisper-large-v3,driving_in_the_rain,88,0.15208532537879396
openai-whisper-large-v3,driving_in_the_rain,92,0.17361712974942856
openai-whisper-large-v3,driving_in_the_rain,104,0.5151589311184597
openai-whisper-large-v3,driving_in_the_rain,112,0.7230352359859821
openai-whisper-large-v3,driving_in_the_rain,116,0.8892776922621397
openai-whisper-large-v3,driving_in_the_rain,120,3.482390355022463
openai-whisper-large-v3,driving_in_the_rain,130,2.2402813988630306
